#Fri May 30 14:23:36 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               9          -12.62           9.613
              10          -7.661           10.16
              11           18.22           9.823
              12          -10.71           9.023
              13           -25.7           9.808
              14           1.541           10.24
              15           35.09           9.706
              16           25.37           10.04
              17          -24.08           7.898
              18           1.893           22.62
              19           2.797           8.622
              20          -17.76           9.183
              21          -17.14           8.145
              22          -3.906           11.41
              23           -11.2           7.878
              24          -18.93           8.268
              25          -15.28           8.795
              26          -1.448           9.752
              27           31.87           8.127
              28          -20.28            7.84
              29          -11.82           11.28
              30          -14.26           8.823
              31           49.23           8.742
              32           22.98           10.06
              33           5.109           9.524
              34            -3.2           11.24
              35           3.639           11.01
              36          -1.753           8.607
              37          -9.092            9.54
              38          -15.68           10.91
              39            9.26            9.84
              40          -6.925           8.543
              41           5.723           8.787
              42           4.825           11.59
              43            23.7           9.894
              44          -27.49           10.33
              45          -1.568           9.276
              46          -17.51           9.134
              47           37.94           10.04
              48              13           10.76
              49          -19.82           7.898
              50           -3.52            17.4
              51           3.748           8.236
              52           -15.6           8.877
              53           -34.8           8.139
              54          -3.223           10.84
              55           7.158           7.771
              56          -9.539             8.1
              57          -28.67           9.635
              58           11.95           9.509
              59           36.82           8.233
              60          -9.136           7.777
              61          -12.09           13.09
              62           7.963           8.438
              63            37.8           9.095
              64           15.73           9.598
              65          -14.75           7.927
              66           11.28           17.81
              67          0.6731           11.97
              68          -10.64           8.743
              69           8.391           8.196
              70          -8.497            13.8
              71           6.241           10.08
              72           -1.96            8.43
              73            6.49           7.909
              74           11.54            11.4
              75           25.08           9.989
              76          -19.56            8.49
              77          -4.571           8.119
              78          -1.613           10.28
              79           62.35           10.83
              80           11.56           10.78
              81          -2.998            7.77
              82           9.912           13.64
              83          -15.49           7.616
              84         -0.2094           9.587
              85          -15.32           7.497
              86           10.87           9.033
              87           19.05           7.787
              88          -21.46            8.13
              89          -15.99           8.891
              90          -8.635           8.205
              91           44.31            8.77
              92           14.31           7.698
              93          -1.647           11.87
              94           3.028           7.738
              95           75.06           10.03
              96          -1.135           8.892
              97           -25.8           8.351
              98           10.48            15.8
              99           -6.66           11.45
             100          0.7367           8.576
             101          -12.53           8.574
             102         -0.5559           12.02
             103           12.59           10.02
             104          -17.71            8.59
             105          -11.47            8.16
             106           3.396           10.91
             107           41.09           10.17
             108          -9.876           8.295
             109            18.7           8.038
             110          -5.757           11.72
             111           87.14            11.2
             112          0.1477           10.45
             113           -8.88            7.59
             114          -6.656            12.4
             115          -8.308           7.642
             116          -9.208           8.613
             117          0.2623            7.46
             118           8.359           8.747
             119           22.45           7.804
             120           -15.8           7.768
             121           4.373           8.816
             122          0.3337           7.918
             123           42.39           9.044
             124          -5.924           7.485
             125          -9.155           15.47
             126          -2.926           8.051
             127           108.1           10.94
APV               11              11               1               3
               0           1.358           34.05
