#Wed May 28 15:57:03 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               8           -22.2           8.611
               9          -13.71            11.9
              10           -8.78           12.14
              11           16.08           10.66
              12          -11.67           9.576
              13          -26.86            12.5
              14          0.2107           12.39
              15           33.36           10.08
              16           24.56           12.03
              17          -25.08           8.256
              18         -0.4942           33.06
              19          0.8582           9.833
              20          -18.85           10.86
              21           -18.1           9.124
              22          -5.551           14.97
              23          -13.06           8.104
              24          -19.42           9.233
              25          -15.83           10.44
              26          -3.002           12.38
              27           29.65           8.135
              28          -21.11           8.497
              29          -12.68           15.17
              30           -16.2           10.53
              31           47.62           8.852
              32           21.66           12.01
              33           4.431            11.4
              34          -3.931           14.37
              35           1.933           13.71
              36           -3.34           9.422
              37          -10.23           11.87
              38          -16.79           13.79
              39           7.088           10.87
              40          -8.346           9.027
              41           4.789           10.49
              42           3.572           14.45
              43           21.39            10.7
              44          -28.61           12.84
              45          -2.217            10.4
              46          -19.08           10.55
              47            36.1           10.16
              48           12.45           13.73
              49          -20.64           8.514
              50          -5.087              25
              51           1.575           9.192
              52          -16.66           10.16
              53          -35.18           9.391
              54          -5.055           14.27
              55           5.464           7.976
              56          -10.55           8.896
              57          -30.03           12.22
              58           10.47           11.73
              59           34.92           8.168
              60          -10.08           8.314
              61          -13.08            18.3
              62           5.651           9.909
              63           36.74           9.035
              64           14.51           11.33
              65           -15.3           8.399
              66           11.59           23.99
              67          0.1898            14.8
              68          -11.67           9.544
              69           7.313            9.63
              70          -8.712           17.89
              71           4.924           11.46
              72          -2.995           8.657
              73           5.616           8.911
              74           11.07           14.11
              75           23.56           10.72
              76          -20.79           9.481
              77          -5.439           9.066
              78          -2.838           12.34
              79           61.45           11.32
              80           10.87           13.71
              81          -3.952           8.235
              82           8.553           18.79
              83          -16.98           8.049
              84          -1.529           11.27
              85          -15.84           7.886
              86           10.14           11.32
              87           17.58           7.791
              88          -22.58           9.106
              89          -17.06           10.78
              90          -10.28           9.753
              91           43.05           8.605
              92           13.63            8.18
              93          -2.772           16.39
              94            1.68           8.576
              95              74           10.23
              96          -2.407           9.977
              97          -26.66            9.77
              98           10.38           20.66
              99          -8.264           13.76
             100         -0.2905           9.469
             101          -13.13           10.41
             102          -1.301           15.21
             103           11.08           10.86
             104          -18.61           9.107
             105          -12.07           8.211
             106           2.879           13.46
             107           39.77           10.87
             108          -10.36           9.239
             109           17.77           8.371
             110          -6.808           14.79
             111           86.69           11.55
             112         -0.6326           13.16
             113          -9.533            7.92
             114          -8.093           16.92
             115          -10.19           8.106
             116           -9.97              10
             117         -0.2938           8.073
             118           7.657            10.6
             119           20.38           7.699
             120          -16.79           8.322
             121           3.666           10.77
             122         -0.4339           9.036
             123           41.06           9.073
             124          -6.848           7.962
             125          -10.44           22.61
             126          -4.217           8.728
             127           107.7           10.98
APV               11              11               1               3
               0           4.375           34.83
               1          -32.26           30.28
               2          -13.81           30.07
               3          -104.4           17.19
               4          -137.4           10.08
               5           -11.2           11.19
               6         -0.3488           19.62
               7           43.91           12.29
               8          -82.83           8.362
               9          -19.25           12.17
              10           22.97           12.08
              11           61.53           11.72
              12          -56.19           9.569
              13          -11.51           12.46
              14           29.62            12.8
              15           75.61            10.9
              16          -100.5           11.47
              17          -29.74           8.155
              18           11.06           35.75
              19           22.97           9.918
              20          -104.5           10.34
              21          -18.12           9.279
              22           18.74           16.52
              23           53.28             8.2
              24          -73.56           8.995
              25          -22.68           10.62
              26           10.19           12.66
              27           56.72           8.268
              28          -44.88           8.324
              29           -9.05            16.2
              30           40.06           10.44
              31           68.27           9.255
              32          -101.4           11.46
              33          -13.14           11.93
              34           6.554           14.33
              35              53           14.06
              36          -94.69           9.002
              37          -27.25           12.45
              38              22            13.5
              39           44.19           11.14
              40          -69.86           8.756
              41           5.024           10.59
              42           26.36           14.34
              43           75.93           11.86
              44          -48.45            13.4
              45           7.765           9.154
              46           32.96           10.99
              47           71.39           11.33
              48            -112           13.43
              49           -25.4            8.18
              50          -9.639           26.95
              51           30.68           9.216
              52          -108.6           9.942
              53          -23.59           9.525
              54           6.511           15.36
              55           70.24           7.966
              56          -48.86           8.865
              57          -4.518           12.59
              58           21.88           11.94
              59            75.2           8.712
              60          -24.97           8.203
              61          -13.99           19.76
              62           21.87           9.915
              63           73.29           9.778
              64          -102.9           10.71
              65          -15.16           8.628
              66           35.52           23.06
              67           38.87           15.85
              68          -83.55           8.972
              69          -18.96           10.02
              70           29.96           17.73
              71           57.92           12.12
              72          -69.85           8.406
              73          -3.593           9.011
              74           47.35           14.56
              75           64.25            11.9
              76          -23.89           9.828
              77           6.501           8.703
              78            35.2           12.71
              79           85.21           11.52
              80          -106.5           13.35
              81          -4.192           8.076
              82           17.09           20.85
              83           36.45           7.928
              84          -94.22           10.87
              85          -19.94           7.876
              86            19.7           11.97
              87           78.02           7.895
              88          -71.69           8.834
              89          -2.761           11.24
              90           39.11           9.932
              91           55.39           9.006
              92          -17.44           8.217
              93           2.815            18.5
              94           52.14           8.432
              95             102           10.27
              96          -122.6           9.428
              97          -13.21           10.24
              98           30.87           19.78
              99           40.84           15.35
             100          -84.67           8.813
             101          -25.13           11.04
             102           4.141           14.67
             103           58.48           11.66
             104          -48.32           9.144
             105           13.32           8.799
             106           46.14           14.02
             107           62.31           12.16
             108          -42.99           9.546
             109           25.94           8.462
             110           40.67            15.3
             111             112           12.11
             112          -106.9           12.92
             113          -23.14           7.739
             114          -6.335              18
             115           47.38           7.989
             116          -61.08           9.875
             117          -19.97           8.053
             118           30.49           11.33
             119           65.87           7.874
             120          -38.77           8.339
             121          -1.367            11.5
             122           39.02           9.482
             123           53.54           9.552
             124          -14.08           7.806
             125            15.6           25.84
             126            47.8           8.819
             127           140.5           11.57
APV               11              11               1               4
               0           61.65           31.72
               1          -60.36            25.4
               2          -35.82           26.24
               3          -46.74           18.54
               4          -137.6           11.03
               5          -81.66           10.35
               6           5.588              21
               7           85.39           12.61
               8          -95.04           8.533
               9          -73.87           11.58
              10           24.69            12.6
              11           97.26           11.59
              12          -89.34           9.504
              13          -38.45           12.05
              14           45.55           12.78
              15           98.06           10.76
              16           -80.8           12.26
              17          -60.21           8.304
              18          -38.68           31.57
              19           55.96           10.33
              20          -90.32           11.23
              21          -66.83           9.151
              22           2.925           15.89
              23           87.75           8.339
              24          -92.61           9.507
              25          -64.12           10.19
              26           24.37           12.35
              27           96.84           8.399
              28          -68.36           8.744
              29          -36.32           15.35
              30           44.88           10.63
              31           115.6           9.135
              32          -79.57           12.46
              33          -63.52           10.86
              34          -14.01           13.91
              35           60.01           14.29
              36          -86.87           9.911
              37          -55.23           11.75
              38           18.22            14.3
              39           94.41           11.24
              40          -75.54           8.886
              41          -49.56           9.974
              42           37.93            15.2
              43           96.01           11.69
              44          -53.16            12.4
              45           -11.7           10.08
              46           42.86           10.89
              47           126.1            10.9
              48          -87.72           14.13
              49          -63.52           8.512
              50          -13.18           25.12
              51           71.81           9.481
              52          -96.76            10.5
              53          -59.88           9.396
              54          -4.378           14.88
              55           88.76           8.102
              56          -78.25           9.068
              57          -42.07           12.06
              58           36.53           11.91
              59           85.96           8.458
              60          -76.66           8.338
              61          -24.36           19.47
              62           55.32            10.4
              63           127.8           9.631
              64          -83.62           11.52
              65          -41.31           8.057
              66          -8.372           24.07
              67           65.19           18.32
              68          -83.21           10.03
              69           -55.4           9.441
              70           42.89           18.47
              71           93.63           12.39
              72          -58.14           8.839
              73          -21.22           8.804
              74           57.17           17.18
              75           109.6           11.74
              76          -51.87           9.134
              77          -14.83           9.396
              78           58.16           12.97
              79           131.6           11.79
              80          -75.27           14.22
              81          -35.69           8.244
              82          -8.988           18.85
              83           73.42           48.16
              84          -59.75            11.2
              85          -35.34           8.409
              86           15.41           12.19
              87           88.12           8.196
              88          -71.22           9.474
              89          -25.03           11.23
              90           40.66           9.445
              91           109.8            8.97
              92          -64.79           8.354
              93          -8.569           17.73
              94           56.88            8.63
              95           152.1           10.48
              96          -80.34            10.4
              97          -57.94            9.76
              98           13.47           20.95
              99           74.34           16.93
             100          -81.68           9.752
             101          -45.01           10.51
             102           40.74           14.76
             103           94.82           11.55
             104          -86.52           9.049
             105          -21.36           8.761
             106           39.69           14.53
             107           122.9           11.85
             108           -51.5           8.934
             109           2.124           9.181
             110           53.37           15.61
             111           147.4            12.1
             112          -103.5           13.76
             113          -56.99           7.936
             114           11.87           16.77
             115           61.63           8.212
             116          -84.97           10.41
             117          -34.63           8.108
             118           16.08           12.58
             119           90.18           7.825
             120          -72.45           8.681
             121          -30.32           11.36
             122           20.54           9.113
             123           105.9           9.181
             124          -52.44           7.969
             125          -28.29           25.25
             126           65.94           8.754
             127           142.2           11.27
APV               11              11               1               5
               0             159           31.47
               1          -17.07           23.99
               2          -17.07           23.04
               3          -86.69           21.03
               4          -101.3           11.48
               5          -37.01           10.41
               6          -1.745           19.19
               7           19.95           11.99
               8           -25.5           8.164
               9          -23.18           10.78
              10           5.018           10.84
              11           23.62            10.4
              12          -59.27           8.871
              13          -13.41           11.21
              14           2.334           10.88
              15           30.59           10.08
              16          -53.92           11.83
              17           -26.4           8.068
              18          -15.15           32.37
              19           11.68           11.07
              20          -41.37           10.66
              21          -18.88           8.708
              22         -0.7034           16.31
              23           35.02           8.306
              24          -48.55           9.133
              25          -7.977           9.634
              26           14.92           12.67
              27           26.48           7.992
              28          -28.52           8.139
              29          -4.304           14.61
              30          -1.072           10.98
              31           50.62           8.735
              32          -45.18           11.88
              33          -18.06           10.56
              34        -0.09033           12.26
              35           34.28           12.62
              36          -23.12             9.6
              37           -15.6           11.07
              38           16.14           13.02
              39           29.23           10.53
              40          -36.94           8.551
              41           4.401           9.686
              42           12.41           12.72
              43           40.17           10.45
              44          -12.67           11.91
