# format = APV crate slot mpd_id adc_ch followed by
# APV_channel_number(0-127) pedestal_mean pedestal_rms
APV                2              13               3               1
             110           39.95           14.19
             111           101.5           15.37
             112          -33.35           14.66
             113          -19.76           10.23
             114         -0.3133           13.24
             115           55.88           11.36
             116          -57.24           12.21
             117          -18.26           9.701
             118           18.26           10.67
             119           67.31           11.36
             120          -36.94            11.2
             121          -21.84           10.92
             122            23.1           10.73
             123           60.75           13.62
             124          -21.47           10.54
             125          -15.86           16.58
             126           44.88           10.51
             127           105.5           15.14
APV                2              13               3               3
               0           102.4           50.49
               1          -36.53           26.44
               2          -51.04           21.74
               3          -81.13           18.26
               4          -80.45           13.68
               5          -43.15           11.36
               6          -11.56           17.28
               7            63.4           14.83
               8          -46.36           11.79
               9           -20.6           11.79
              10          -10.16           12.76
              11            83.9           15.96
              12          -42.71            11.6
              13          -7.918            11.1
              14           19.16           13.38
              15           115.1            17.2
              16          -8.687           14.65
              17          -21.79              11
              18          -28.05           21.28
              19           44.04           13.09
              20          -50.43           13.21
              21             -32           10.89
              22          -8.958           12.69
              23           76.29           13.27
              24          -52.02           12.16
              25          -19.97           10.87
              26          -5.411           11.91
              27           76.16           14.96
              28          -28.81           11.32
              29          -14.29           11.92
              30            12.6           11.67
              31           139.6           13.55
              32          -10.23           14.43
              33          -25.98           17.36
              34          -9.577           12.78
              35           50.43           16.19
              36          -37.04           12.77
              37           -21.9           11.52
              38           1.484            13.3
              39           76.97           15.02
              40          -41.53           12.34
              41          -22.17           11.57
              42           23.29           14.78
              43           76.25           16.04
              44          -39.36           11.34
              45          -13.22            11.7
              46           26.93            12.9
              47           111.2           17.23
              48          -14.56           15.09
              49          -45.76           11.07
              50          -17.46           17.25
              51           63.57           13.24
              52          -52.26           12.48
              53          -17.99           10.39
              54          -1.096           12.16
              55            72.3           13.58
              56          -41.01           11.82
              57           -17.3           11.03
              58           29.31           12.63
              59           104.6           15.02
              60          -22.37              11
              61          -9.937           12.52
              62           24.25           11.41
              63           138.4           17.23
              64          -18.17           13.98
              65          -14.36            10.9
              66          -7.684           19.09
              67           55.62           16.51
              68          -34.02           12.82
              69          -7.499           10.76
              70           17.97           16.56
              71           65.83           14.44
              72          -26.82           36.55
              73            4.97           11.07
              74           12.01           42.16
              75           101.7           14.63
              76          -21.18           10.81
              77           2.744           10.75
              78           29.63           15.65
              79           121.7           17.26
              80          -18.53           15.35
              81          -15.91           11.11
              82          -19.67            14.8
              83           69.99           13.13
              84          -35.34           13.24
              85          -14.06           10.71
              86          -5.827           12.11
              87           59.19           12.96
              88          -27.23           11.58
              89          -1.293           11.25
              90           25.96           45.22
              91           88.06           13.83
              92          -15.04           10.99
              93          -12.93           13.47
